Tier,Month_End_Date,Num_Payments,Amount_of_Payments,New_Employers,Open_Employers_at_EOM
1,2018-01-31,25,66912.90999999999,0,47
1,2018-02-28,22,77029.76999999999,0,47
1,2018-03-31,0,0.0,1,48
1,2018-04-30,23,77125.12000000001,2,50
1,2018-05-31,28,100050.31999999998,0,50
1,2018-06-30,25,94994.46000000002,1,51
1,2018-07-31,24,84294.59999999999,0,51
1,2018-08-31,17,32875.799999999996,1,52
1,2018-09-30,19,59299.04,0,52
1,2018-10-31,26,68805.03000000001,2,53
1,2018-11-30,15,69293.72,131,49
1,2018-12-31,18,33674.04,40,49
2,2018-01-31,28,532469.8300000001,1,40
2,2018-02-28,18,417661.8999999998,0,40
2,2018-03-31,20,417105.56,1,41
2,2018-04-30,23,469242.73000000016,3,44
2,2018-05-31,22,486275.44000000006,0,44
2,2018-06-30,22,936722.37,1,44
2,2018-07-31,16,106753.75999999998,0,44
2,2018-08-31,23,536142.7499999998,0,44
2,2018-09-30,22,522989.00999999995,1,45
2,2018-10-31,30,552287.16,1,46
2,2018-11-30,25,670639.2700000001,103,45
2,2018-12-31,21,116823.49,32,44
3,2018-01-31,58,149071.76999999996,2,150
3,2018-02-28,53,127430.23999999999,2,152
3,2018-03-31,53,141915.34999999998,2,154
3,2018-04-30,66,144259.97000000003,2,156
3,2018-05-31,64,146754.55,5,160
3,2018-06-30,70,212334.99000000002,5,165
3,2018-07-31,72,129393.35000000002,4,169
3,2018-08-31,66,182954.86999999997,3,172
3,2018-09-30,52,113046.10000000002,0,171
3,2018-10-31,72,147343.30000000002,1,172
3,2018-11-30,70,131442.01,461,174
3,2018-12-31,56,602374.2599999999,153,173
4,2018-01-31,260,683145.4700000001,16,603
4,2018-02-28,234,595114.9400000001,14,613
4,2018-03-31,212,438757.4,13,625
4,2018-04-30,297,803721.3500000004,12,635
4,2018-05-31,302,650130.7699999997,13,648
4,2018-06-30,321,757748.6000000001,17,663
4,2018-07-31,309,764361.4099999998,9,669
4,2018-08-31,260,602621.3200000004,11,677
4,2018-09-30,233,509636.8000000001,9,685
4,2018-10-31,317,894522.7300000001,10,692
4,2018-11-30,278,723540.8100000006,1758,699
4,2018-12-31,225,498173.5099999999,592,700
